,SubDivName,medianPrSqFt_2000,medianHage_2000,medianHPrice_2000,medianPrSqFt_2005,medianHage_2005,medianHPrice_2005,medianPrSqFt_2010,medianHage_2010,medianHPrice_2010,medianPrSqFt_2015,medianHage_2015,medianHPrice_2015,medianPrSqFt_2020,medianHage_2020,medianHPrice_2020,subDivAge_2000,subDivAge_2005,subDivAge_2010,subDivAge_2015,subDivAge_2020
316,GROVE VIEW,125.0,34.5,150500.0,136.0,29.0,156186.0,211.7185,23.0,425398.5,234.0,15.0,735131.0,237.0,12.0,799705.0,89.0,94.0,99.0,104.0,109.0
317,GUARD HILL,128.0,32.5,253196.0,128.0,37.5,253196.0,130.539,2.0,125000.0,153.5,4.0,508331.0,189.5,9.0,632662.5,void,void,2.0,7.0,12.0
318,HABITAT FOR HUMANITY,68.0,9.0,77142.0,82.5,3.0,91854.0,110.70100000000001,8.0,122058.0,99.0,13.0,109130.0,150.0,18.0,164846.0,void,3.0,8.0,13.0,18.0
319,HABITAT FOR HUMANITY,68.0,9.0,77142.0,82.5,3.0,91854.0,110.70100000000001,8.0,122058.0,99.0,13.0,109130.0,150.0,18.0,164846.0,void,4.0,9.0,14.0,19.0
320,HABITAT FOR HUMANITY,68.0,9.0,77142.0,82.5,3.0,91854.0,110.70100000000001,8.0,122058.0,99.0,13.0,109130.0,150.0,18.0,164846.0,10.0,15.0,20.0,25.0,30.0
321,HAITHCOCK FARMS,71.0,32.0,113156.0,71.0,36.5,114163.0,87.039,41.5,150817.5,86.0,46.5,147352.5,113.0,51.5,192420.0,35.0,40.0,45.0,50.0,55.0
322,HALL,162.0,21.0,494323.0,162.0,26.0,494323.0,void,void,void,void,void,void,295.0,41.0,899756.0,void,void,void,void,void
323,HAMDEN HALL,void,void,37560.0,void,void,112760.0,void,void,void,void,void,void,void,void,void,void,void,1.0,6.0,11.0
324,HAMPTON HILL,98.0,28.0,255741.0,95.0,33.0,255762.0,171.485,38.0,463756.0,166.0,43.0,492506.0,192.0,48.0,575709.0,11.0,16.0,21.0,26.0,31.0
325,HAMPTON OAKS,88.0,20.0,142649.0,88.0,25.0,143187.0,119.36399999999999,30.0,194011.0,129.0,35.0,215343.0,163.0,40.0,269319.0,21.0,26.0,31.0,36.0,41.0
326,HAMSTEAD CROSSING,85.0,17.0,108747.5,85.0,21.0,108891.0,99.49350000000001,26.0,129647.0,97.0,31.0,125672.0,144.0,36.0,187859.0,16.0,21.0,26.0,31.0,36.0
327,HARDEN PLACE,119.0,5.0,360151.5,117.5,10.0,375717.0,168.3385,15.0,555647.5,165.5,20.0,562536.5,192.0,25.0,658355.0,6.0,11.0,16.0,21.0,26.0
328,HARGETT OAKS,84.0,13.0,74736.0,85.0,18.0,75838.0,83.26700000000001,23.0,75010.5,119.5,28.0,106836.0,245.5,33.0,219543.5,13.0,18.0,23.0,28.0,33.0
329,HARGETT ST REDEVELOPMENT,28.0,80.0,25186.0,79.5,4.0,99323.0,117.712,9.0,142024.0,169.0,14.0,225969.0,285.0,19.0,395655.0,0.0,5.0,10.0,15.0,20.0
330,HARPS MILL,87.0,7.0,153561.0,88.0,12.0,153561.0,117.0495,17.0,202784.0,124.0,22.0,216026.0,156.0,27.0,269282.0,8.0,13.0,18.0,23.0,28.0
331,HARPS MILL WOODS,83.0,3.0,45000.0,84.0,6.0,175822.5,109.657,11.0,229195.0,116.0,16.0,244400.0,145.0,21.0,308622.0,5.0,10.0,15.0,20.0,25.0
332,HARRY R WATHERINGTON,99.0,37.0,217614.0,97.0,42.0,217614.0,187.567,47.0,385015.0,217.0,52.0,373642.0,227.0,57.0,476887.0,47.0,52.0,57.0,62.0,67.0
333,HARVEY STREETS COMMONS,103.0,12.0,131288.0,103.0,17.0,131288.0,166.385,22.0,221286.0,190.0,27.0,251717.0,259.0,32.0,345111.0,11.0,16.0,21.0,26.0,31.0
334,HAYES BARTON,177.0,62.0,442272.0,162.0,66.0,424258.0,215.065,69.0,482791.0,220.0,74.0,498228.0,257.0,80.0,672205.0,80.0,85.0,90.0,95.0,100.0
