,SubDivName,medianPrSqFt_2000,medianHage_2000,medianHPrice_2000,medianPrSqFt_2005,medianHage_2005,medianHPrice_2005,medianPrSqFt_2010,medianHage_2010,medianHPrice_2010,medianPrSqFt_2015,medianHage_2015,medianHPrice_2015,medianPrSqFt_2020,medianHage_2020,medianHPrice_2020,subDivAge_2000,subDivAge_2005,subDivAge_2010,subDivAge_2015,subDivAge_2020
399,KNOWLES PLACE TOWNHOMES,103.5,16.0,125884.0,103.5,21.0,125884.0,134.9475,26.0,168065.5,161.0,31.0,199119.5,210.0,36.0,259569.5,17.0,22.0,27.0,32.0,37.0
400,LACROSSE POINTE,104.0,4.0,264812.5,104.0,9.0,266856.5,133.91950000000003,14.0,347275.5,139.0,19.0,361245.5,149.5,24.0,389492.5,5.0,10.0,15.0,20.0,25.0
401,LAFAYETTE,128.0,55.0,133285.0,125.0,60.0,134335.0,209.4375,65.0,235326.5,224.0,70.0,254182.0,275.0,75.0,356814.0,55.0,60.0,65.0,70.0,75.0
402,LAKE BOONE PLACE,166.0,12.0,637268.0,158.0,17.0,636693.0,229.68099999999998,17.0,859467.0,231.0,27.0,874056.0,231.0,31.0,928727.0,15.0,20.0,25.0,30.0,35.0
403,LAKE FOREST,86.0,24.5,157226.5,83.0,29.0,158070.0,117.542,33.5,228829.0,112.5,38.0,217968.0,149.5,43.5,289352.0,35.0,40.0,45.0,50.0,55.0
404,LAKE JOHNSON HARBOUR,98.0,6.0,130832.5,98.0,11.0,132090.0,139.3895,16.0,185774.0,145.5,21.0,198988.5,184.5,26.0,251421.5,void,void,void,void,void
405,LAKE LYNN TOWNES,void,void,96000.0,73.0,3.0,102746.0,87.006,8.0,125462.0,98.0,13.0,141444.0,127.0,18.0,182512.0,void,4.0,9.0,14.0,19.0
406,LAKELAND WOODS,115.0,4.0,411128.0,115.0,9.0,409350.0,166.3435,14.0,600562.0,178.0,19.0,652054.5,189.0,24.0,691758.0,5.0,10.0,15.0,20.0,25.0
407,LAKEMONT,87.0,35.0,136519.0,86.0,40.0,136832.0,131.087,45.0,209027.5,151.0,50.0,243002.5,203.0,55.0,326261.5,37.0,42.0,47.0,52.0,57.0
408,LAKEPARK,85.0,21.0,161855.0,85.0,26.0,162091.5,121.37299999999999,31.0,232338.0,123.5,36.0,240808.0,153.0,41.0,299767.0,23.0,28.0,33.0,38.0,43.0
409,LAKESTONE,149.0,32.0,459737.5,144.5,36.0,466233.0,202.5335,38.0,629457.0,185.0,46.0,593625.0,211.0,48.0,677703.0,29.0,34.0,39.0,44.0,49.0
410,LAKESTONE PLACE,148.0,6.0,453987.0,void,void,void,void,void,void,void,void,void,void,void,void,void,0.0,5.0,10.0,15.0
411,LAKEVIEW CUD,95.0,8.0,175877.0,95.5,13.0,175729.0,142.498,18.0,261459.0,147.0,23.0,273585.5,179.0,28.0,334657.0,9.0,14.0,19.0,24.0,29.0
412,LAKEVIEW CUD TOWNHOMES,89.0,11.0,116198.0,88.0,17.0,116198.0,107.677,22.0,141454.0,108.0,27.0,141528.0,148.0,32.0,195993.0,12.0,17.0,22.0,27.0,32.0
413,LAKEWOOD,73.5,39.0,148832.0,void,43.0,149470.5,81.883,48.0,178592.0,102.0,53.0,214948.0,173.0,58.0,376158.0,41.0,46.0,51.0,56.0,61.0
414,LAMBSHIRE DOWNS,92.0,35.0,306979.0,92.0,40.0,306979.0,143.881,45.0,492997.0,150.0,50.0,560757.0,147.0,55.0,541436.0,40.0,45.0,50.0,55.0,60.0
415,LANDFALL NORTH,89.0,13.0,197498.0,87.0,18.0,197498.0,119.2555,23.0,271097.0,126.0,28.0,286382.0,154.0,33.0,348862.0,14.0,19.0,24.0,29.0,34.0
416,LANDFALL NORTH PH2,93.5,11.0,190616.0,93.0,16.0,186548.5,131.964,21.0,260299.5,136.0,26.0,274526.5,162.5,31.0,330298.0,13.0,18.0,23.0,28.0,33.0
417,LANDINGS AT NORTH RIDGE TOWNHO,122.0,15.0,267079.0,121.0,20.0,267673.5,148.1395,25.0,344362.0,121.0,30.0,284623.0,152.0,35.0,353621.0,17.0,22.0,27.0,32.0,37.0
418,LASSITER MILL,164.0,14.0,527010.0,164.0,19.0,540923.5,197.812,24.0,791474.5,169.0,29.0,740342.5,232.5,34.0,921660.0,16.0,21.0,26.0,31.0,36.0
419,LASSITER PLACE,118.0,23.0,177804.5,109.5,4.5,296176.0,179.12,9.0,488798.0,169.0,14.0,504295.0,231.0,19.0,675183.0,0.0,5.0,10.0,15.0,20.0
420,LAURA CANNADY,37.0,39.0,14000.0,44.0,49.5,20261.5,84.33449999999999,54.5,88881.5,77.5,59.5,81536.5,114.5,64.5,127960.0,41.0,46.0,51.0,56.0,61.0
421,LAUREL BROOK,95.0,9.0,125770.5,95.0,14.0,126137.0,123.89,19.0,163686.0,134.0,24.0,178235.0,184.0,29.0,244836.0,9.0,14.0,19.0,24.0,29.0
422,LAUREL HILLS,82.0,37.0,168723.0,81.0,42.0,171270.5,120.7705,47.0,258898.0,128.0,52.0,270476.0,152.0,56.0,332236.0,45.0,50.0,55.0,60.0,65.0
423,LAURENWOOD,112.0,42.0,103986.0,90.5,31.0,138033.0,140.649,36.0,195624.5,137.5,41.0,190332.0,183.5,46.0,255368.5,2.0,7.0,12.0,17.0,22.0
424,LAYTON GLEN,82.0,11.0,139455.0,82.0,16.0,139789.0,121.36399999999999,21.0,204533.0,123.0,26.0,217054.0,149.0,31.0,259765.0,14.0,19.0,24.0,29.0,34.0
425,LEAD MINE LAKE,107.0,4.0,246901.0,107.0,9.0,246901.0,147.63850000000002,14.0,351347.5,146.0,19.0,357314.0,175.0,24.0,430383.5,5.0,10.0,15.0,20.0,25.0
426,LEESVILLE CREST,69.0,29.0,77001.0,78.0,34.0,77001.0,148.018,3.0,761450.0,156.0,7.0,758080.0,167.0,12.5,790930.0,void,void,4.0,9.0,14.0
427,LEONARD PLACE,141.0,2.0,470768.0,139.0,5.0,486409.0,225.37,11.5,782698.5,208.0,15.0,762303.0,237.0,20.0,873035.0,3.0,8.0,13.0,18.0,23.0
428,LEYLAND HEIGHTS,118.0,54.0,165391.0,84.0,30.0,50461.0,142.673,5.0,342921.5,134.0,10.0,340207.0,203.5,15.0,493720.0,void,4.0,9.0,14.0,19.0
429,LINCOLN TERRACE,54.0,50.0,61413.0,55.0,55.0,61824.0,72.745,60.0,83176.0,117.5,65.0,132094.5,195.0,70.0,231610.0,62.0,67.0,72.0,77.0,82.0
430,LINCOLN VILLAS,68.0,16.0,78866.0,68.0,21.0,78934.0,69.813,26.0,82265.0,69.0,31.0,80757.0,102.0,36.0,119965.0,15.0,20.0,25.0,30.0,35.0
431,LIONS WAY,67.5,28.0,116827.5,67.0,33.0,117084.0,102.195,38.0,190536.0,113.0,43.0,197913.5,171.5,48.0,301439.0,29.0,34.0,39.0,44.0,49.0
432,LITCHFORD FOREST III,88.5,19.0,122321.0,89.0,24.0,123426.0,116.69200000000001,29.0,161628.5,129.5,34.0,185133.0,163.0,39.0,230217.0,18.0,23.0,28.0,33.0,38.0
433,LITTLE LAKE HILL,168.0,12.0,453833.0,155.0,17.0,426745.0,222.821,22.0,609505.0,208.0,27.0,622273.0,232.0,32.0,672969.0,14.0,19.0,24.0,29.0,34.0
434,LOCKWOOD,78.0,43.0,84278.0,77.0,48.0,82976.0,90.08200000000001,53.0,96608.0,112.0,58.0,124850.0,201.0,63.0,223426.0,45.0,50.0,55.0,60.0,65.0
435,LOCKWOOD,78.0,43.0,84278.0,77.0,48.0,82976.0,90.08200000000001,53.0,96608.0,112.0,58.0,124850.0,201.0,63.0,223426.0,void,void,3.0,8.0,13.0
436,LOCKWOOD,78.0,43.0,84278.0,77.0,48.0,82976.0,90.08200000000001,53.0,96608.0,112.0,58.0,124850.0,201.0,63.0,223426.0,40.0,45.0,50.0,55.0,60.0
437,LONDONDERRY TOWNHOMES,67.0,16.0,77437.5,69.0,21.0,78712.0,89.805,26.0,106503.0,89.5,31.0,104587.5,119.0,36.0,138541.0,4.0,9.0,14.0,19.0,24.0
438,LONGACRES,63.0,45.0,64811.5,63.0,50.0,64942.5,74.4735,55.0,77271.0,75.0,60.0,79584.0,123.0,65.0,129466.0,38.0,43.0,48.0,53.0,58.0
439,LONGVIEW GARDENS,66.0,45.0,127007.0,66.0,50.0,127570.0,99.831,55.0,196006.0,118.0,60.0,231182.0,197.0,65.0,383167.0,46.0,51.0,56.0,61.0,66.0
440,LONGVIEW GARDENS,66.0,45.0,127007.0,66.0,50.0,127570.0,99.831,55.0,196006.0,118.0,60.0,231182.0,197.0,65.0,383167.0,52.0,57.0,62.0,67.0,72.0
441,LONGVIEW PARK,77.0,46.0,82548.5,77.0,51.0,82670.0,87.46799999999999,56.0,96171.0,118.0,61.0,129314.0,210.0,66.0,236811.0,53.0,58.0,63.0,68.0,73.0
442,LONGWOOD,97.0,22.0,351204.0,97.0,27.0,351204.0,120.4735,32.0,447962.0,120.0,37.0,476044.0,146.5,39.5,586135.0,29.0,34.0,39.0,44.0,49.0
443,LYNDHURST MANOR,64.0,30.5,154765.0,65.0,35.0,166353.0,76.1165,40.0,193031.0,77.0,45.0,202983.0,97.0,50.0,250111.0,void,void,void,void,void
444,LYNN POINTE,98.5,4.0,153549.0,98.5,9.0,153549.0,135.985,14.0,211521.0,138.0,19.0,214577.0,172.0,24.0,267799.0,5.0,10.0,15.0,20.0,25.0
445,LYNN RIDGE TOWNHOMES,87.5,3.0,124750.5,87.0,8.0,123878.0,90.8855,13.0,131660.0,94.0,18.0,131984.0,130.0,23.0,181349.0,11.0,16.0,21.0,26.0,31.0
446,LYNN ROAD,79.0,7.0,104479.0,79.0,12.0,104479.0,110.258,17.0,151164.0,112.0,22.0,153317.0,153.0,27.0,212934.0,7.0,12.0,17.0,22.0,27.0
447,LYNN ROAD TOWNHOMES,73.0,43.0,59170.0,73.0,48.0,59170.0,186.355,53.0,152066.0,162.0,58.0,131965.0,222.0,63.0,181386.0,void,void,void,void,void
448,LYNNBROOK,70.0,17.0,261948.0,70.0,22.0,261915.0,88.572,27.0,330993.0,86.0,32.0,320194.0,119.0,37.0,443344.0,17.0,22.0,27.0,32.0,37.0
449,LYNNDALE ESTATES,82.0,25.0,125792.0,82.0,30.0,125792.0,120.77,35.0,183768.0,121.0,40.0,183201.0,164.0,45.0,250258.0,26.0,31.0,36.0,41.0,46.0
450,LYNNDALE TOWNHOMES,void,void,46400.0,113.0,3.0,196017.0,116.98200000000001,8.0,205856.0,115.0,13.0,202658.0,112.0,18.0,234625.0,void,4.0,9.0,14.0,19.0
451,LYON,75.5,38.0,122057.5,84.5,42.5,131000.0,94.28200000000001,47.5,157050.0,98.0,53.0,157966.0,120.0,58.0,195283.0,39.0,44.0,49.0,54.0,59.0
452,LYON PARK,124.0,45.0,189735.0,122.0,50.0,191341.0,207.27550000000002,55.0,347198.0,215.0,60.0,376891.5,260.5,65.0,459743.0,47.0,52.0,57.0,62.0,67.0
453,M E SMITH,39.0,45.5,48088.5,39.0,50.5,48088.5,48.751,55.5,62255.5,49.0,60.5,60967.0,102.5,65.5,127828.0,40.0,45.0,50.0,55.0,60.0
454,M E VALENTINE,143.0,22.0,392406.0,143.0,27.0,392406.0,219.3595,32.0,604664.0,212.0,37.0,618214.0,237.0,42.0,659985.0,23.0,28.0,33.0,38.0,43.0
455,MADISON PARK PH1,143.0,2.0,65000.0,145.0,5.0,466703.0,184.91,10.0,661232.0,171.0,15.0,618434.0,198.5,20.0,702607.0,2.0,7.0,12.0,17.0,22.0
456,MADISON PARK PH2,228.0,19.0,1390189.0,129.0,1.0,65000.0,199.555,4.0,749168.5,198.0,8.0,679029.0,219.0,13.0,778779.0,void,1.0,6.0,11.0,16.0
457,MADONNA ACRES,69.5,38.0,123371.0,70.0,43.0,123883.0,69.6465,48.0,124824.0,100.0,53.0,180768.0,142.0,58.0,256987.0,40.0,45.0,50.0,55.0,60.0
458,MAGGIE BAUGH SMITH,74.0,36.0,137783.5,74.0,41.0,137783.5,95.796,46.0,165474.5,85.5,51.0,163314.5,105.5,56.0,200916.5,37.0,42.0,47.0,52.0,57.0
459,MAGNOLIA COURT,55.0,15.0,63616.0,55.0,20.0,63616.0,69.453,25.0,82460.0,73.0,30.0,84149.0,83.0,35.0,96721.0,15.0,20.0,25.0,30.0,35.0
460,MAGNOLIA RIDGE,59.0,16.0,226568.0,59.0,21.0,226568.0,83.76700000000001,26.0,323761.0,86.0,31.0,330559.0,124.0,36.0,478688.0,17.0,22.0,27.0,32.0,37.0
461,MAISONS-EN-MER TOWNHOMES,188.0,21.0,968198.0,128.5,3.0,340121.5,144.47799999999998,8.0,379813.0,148.0,12.5,393733.5,157.0,17.5,430459.0,void,4.0,9.0,14.0,19.0
462,MALCOLM MCALLISTER,54.0,17.0,236011.0,53.0,22.0,223309.0,72.84899999999999,27.0,310555.0,66.0,32.0,281322.0,89.0,37.0,379900.0,17.0,22.0,27.0,32.0,37.0
463,MAPLEWOOD FOREST,63.0,40.0,26375.0,42.0,35.0,64451.0,69.532,49.5,104796.0,71.5,54.5,105397.0,96.5,59.5,152620.0,void,void,void,void,void
464,MARION C PENNY,96.0,30.5,196042.5,96.0,35.5,196042.5,178.825,40.5,379674.0,202.0,45.5,420858.0,225.5,50.5,460148.5,21.0,26.0,31.0,36.0,41.0
465,MARK POPE,74.0,21.0,134823.0,74.0,26.0,134823.0,85.156,31.0,152600.0,76.0,36.0,136995.0,118.0,41.0,227293.5,22.0,27.0,32.0,37.0,42.0
466,MARLOWE COURT,181.0,4.5,759252.5,174.5,9.0,775047.0,void,void,void,201.0,19.0,870953.0,215.0,24.0,948955.0,7.0,12.0,17.0,22.0,27.0
467,MARTIN HOMES,74.0,40.0,164612.0,74.0,45.0,163607.0,90.00999999999999,50.0,204803.5,86.5,55.0,173380.5,113.0,60.0,249675.0,41.0,46.0,51.0,56.0,61.0
468,MARTIN SCOTT,77.0,21.0,151406.0,78.0,26.0,152885.0,117.773,31.0,228452.0,119.0,36.0,231509.0,150.0,41.0,291335.0,21.0,26.0,31.0,36.0,41.0
469,MARTIN ST PROPERTY,29.0,70.0,26294.0,86.5,4.0,101552.5,120.742,9.0,141747.5,150.5,14.0,197689.5,257.0,19.0,321372.5,0.0,5.0,10.0,15.0,20.0
470,MARY E MOORE,108.0,47.5,165183.0,102.0,52.5,165272.0,156.99,57.0,295468.5,171.0,62.0,300371.5,209.0,67.0,351891.5,48.0,53.0,58.0,63.0,68.0
471,MAYVIEW HILLS,106.0,59.5,163478.0,void,void,void,216.49400000000003,69.0,335123.0,229.0,74.0,400465.0,258.0,14.0,736646.0,void,0.0,5.0,10.0,15.0
472,MEADOW HILL PLACE,100.0,14.0,204086.0,100.0,19.0,204086.0,168.36599999999999,24.0,347585.0,189.0,29.0,387667.0,237.0,34.0,491107.0,15.0,20.0,25.0,30.0,35.0
473,MEADOW RIDGE,74.0,17.0,92926.5,74.0,22.0,92926.5,void,void,void,90.0,32.0,113798.0,void,void,void,18.0,23.0,28.0,33.0,38.0
474,MEADOW SPRINGS,93.0,1.0,30000.0,94.0,5.0,153956.0,124.193,10.0,205866.5,116.0,15.0,194004.0,156.0,20.0,266422.5,12.0,17.0,22.0,27.0,32.0
475,MEADOWBROOK,128.5,48.0,129090.0,123.0,53.0,130664.0,220.08249999999998,58.0,240890.5,225.0,63.0,260060.0,276.0,68.0,366187.0,51.0,56.0,61.0,66.0,71.0
476,MEADOWCREEK,void,void,1282000.0,72.0,0.0,115519.5,87.971,5.0,140753.0,96.0,10.0,155238.0,132.0,15.0,212400.0,void,2.0,7.0,12.0,17.0
477,MEREDITH TOWNES,84.0,28.0,127624.5,83.0,33.0,127575.0,105.34200000000001,38.0,165699.0,116.0,43.0,184137.0,145.0,48.0,228533.0,22.0,27.0,32.0,37.0,42.0
478,MEREDITH TRAIL,107.0,12.0,233936.0,107.0,17.0,233936.0,153.414,21.0,353259.0,152.5,26.5,347991.5,192.0,32.0,449865.0,14.0,19.0,24.0,29.0,34.0
479,MEREDITH VIEW,113.0,51.0,184492.0,112.0,56.0,187186.0,183.7835,61.0,324408.5,187.0,66.0,338984.0,233.0,68.0,435408.0,51.0,56.0,61.0,66.0,71.0
480,MEREDITH WOODS,82.0,27.0,168923.0,82.0,32.0,170226.5,120.19149999999999,37.0,256689.5,135.0,42.0,288512.5,171.5,47.0,372037.0,28.0,33.0,38.0,43.0,48.0
481,MEREDITH WOODS,82.0,27.0,168923.0,82.0,32.0,170226.5,120.19149999999999,37.0,256689.5,135.0,42.0,288512.5,171.5,47.0,372037.0,14.0,19.0,24.0,29.0,34.0
482,METHOD,62.5,42.0,49275.0,66.5,24.0,68028.0,98.17,28.0,117911.5,99.5,33.0,123480.0,128.0,38.0,163507.0,80.0,85.0,90.0,95.0,100.0
483,METHOD TOWNHOMES,void,void,24000.0,81.0,4.0,103867.0,101.387,9.0,129775.0,67.0,14.0,85480.0,150.0,19.0,191949.0,void,4.0,9.0,14.0,19.0
484,MIDDLETON PLACE,136.0,8.5,484234.0,134.5,13.5,489797.5,217.26149999999998,18.0,774473.0,220.0,23.0,804067.0,225.5,28.5,816268.0,12.0,17.0,22.0,27.0,32.0
485,MIDLAND TOWNHOMES,68.0,15.0,82602.0,68.0,20.0,83231.0,76.2475,25.0,93466.0,78.0,30.0,96154.0,125.0,35.0,152168.0,14.0,19.0,24.0,29.0,34.0
486,MILBURNIE PLACE,92.0,1.0,20000.0,93.0,5.0,103346.5,113.5485,10.0,125544.0,139.5,15.0,154984.0,224.5,20.0,248490.0,1.0,6.0,11.0,16.0,21.0
487,MILBURNIE ROAD PROPERTY,104.0,45.0,16000.0,104.0,50.0,16000.0,108.411,55.0,141043.0,135.0,2.0,212708.0,203.0,7.0,332111.0,void,void,2.0,7.0,12.0
488,MILLBROOK ESTATES,82.0,32.0,149150.0,82.0,37.0,153169.5,103.145,42.0,194281.5,114.0,47.0,212736.5,145.0,52.0,269164.5,38.0,43.0,48.0,53.0,58.0
489,MILLBROOK VILLAGE,52.0,17.0,208197.5,52.0,22.0,208197.5,73.765,27.0,295071.5,72.0,32.0,286335.5,96.0,37.0,383480.0,18.0,23.0,28.0,33.0,38.0
490,MILLSTREAM,143.5,12.5,511518.0,143.5,17.5,511518.0,215.78599999999997,23.0,782473.0,207.0,27.0,818131.0,209.5,32.5,858237.0,14.0,19.0,24.0,29.0,34.0
491,MINE VALLEY,83.0,19.5,119790.5,83.0,24.5,119923.0,107.69200000000001,30.0,157081.0,109.0,34.5,158120.5,162.0,40.0,239899.0,16.0,21.0,26.0,31.0,36.0
492,MONIE LANE,89.0,5.0,114791.0,89.0,10.0,115202.0,141.8725,15.0,184434.0,148.0,20.0,193233.5,254.0,25.0,331134.5,8.0,13.0,18.0,23.0,28.0
493,MONTCLAIR,76.0,35.0,135639.0,76.5,40.0,136944.0,104.59200000000001,45.0,189755.0,167.0,50.0,309961.0,202.0,55.0,377434.0,36.0,41.0,46.0,51.0,56.0
494,MORDECAI,105.5,60.0,137197.0,104.0,65.0,138435.0,187.753,70.0,283595.0,192.0,74.5,298507.0,253.0,80.0,486768.5,80.0,85.0,90.0,95.0,100.0
495,MORDECAI TOWNES ON COURTLAND,110.5,16.5,152623.5,110.5,21.5,152623.5,180.06799999999998,3.0,348958.5,174.0,8.0,338922.0,203.0,13.0,424014.0,void,void,3.0,8.0,13.0
496,MORDECAI VILLAGE,void,void,156240.0,131.0,1.0,239174.0,186.789,5.0,463705.0,172.0,10.0,427160.0,226.5,15.0,563175.0,0.0,5.0,10.0,15.0,20.0
497,MOUNTAINBROOK,83.5,17.0,127437.0,83.5,22.0,127437.0,111.8235,27.0,173234.5,122.5,32.0,187316.5,153.5,37.0,234668.5,19.0,24.0,29.0,34.0,39.0
498,MRS E M GREEN,76.0,45.0,145222.0,76.0,50.0,145222.0,87.59100000000001,55.0,173351.0,110.0,60.0,237721.0,132.0,65.0,269769.0,45.0,50.0,55.0,60.0,65.0
499,MT VERNON PARK,74.5,40.0,82095.0,74.5,45.0,82340.0,105.574,50.0,121192.0,107.5,55.0,123663.5,166.0,60.0,191543.0,40.0,45.0,50.0,55.0,60.0
500,MURRAY HILL AT CROSSWINDS,135.0,44.0,478346.0,135.0,49.0,478346.0,173.364,3.0,691315.0,176.0,8.0,658344.0,205.0,13.0,767023.0,void,void,4.0,9.0,14.0
501,NANCY FISH BAKER,185.0,59.0,660625.0,143.0,32.5,315312.5,void,void,void,void,void,void,void,void,void,void,2.0,7.0,12.0,17.0
502,NANCY W MURRAY,56.0,47.0,70946.0,56.0,52.0,70946.0,110.689,5.0,151544.0,104.0,10.0,147454.0,134.0,15.0,172392.0,void,void,void,void,void
503,NANNIE HUNTER,46.0,38.5,30370.0,48.0,43.0,38052.0,101.541,48.0,76059.0,90.0,53.0,87363.0,137.0,58.0,147319.0,40.0,45.0,50.0,55.0,60.0
504,NEW HOPE ACRES,76.5,42.0,92530.0,void,47.0,90729.0,107.5475,52.0,133022.0,101.0,57.0,122269.0,133.0,61.5,163847.5,47.0,52.0,57.0,62.0,67.0
505,NEW HOPE CROSSING,82.0,2.0,116613.5,78.0,6.0,139863.0,94.446,11.0,170568.0,93.0,16.0,166180.5,123.0,21.0,220536.0,2.0,7.0,12.0,17.0,22.0
506,NEW HOPE CROSSING,82.0,2.0,116613.5,78.0,6.0,139863.0,94.446,11.0,170568.0,93.0,16.0,166180.5,123.0,21.0,220536.0,0.0,5.0,10.0,15.0,20.0
507,NEW HOPE CROSSING TOWNHOMES,81.0,2.0,18000.0,84.0,6.0,112371.0,94.0315,11.0,131361.0,84.5,16.0,113509.0,112.5,21.0,150060.0,3.0,8.0,13.0,18.0,23.0
508,NEWTON PARISH TOWNHOMES,78.0,16.0,98474.0,78.0,21.0,100204.0,92.12799999999999,26.0,126324.0,85.0,31.0,114739.0,123.0,36.0,165030.5,16.0,21.0,26.0,31.0,36.0
509,NICHOLS LANDING,void,void,78858.5,100.0,4.0,254905.0,120.73649999999999,9.0,311209.0,124.0,14.0,317509.0,144.0,19.0,368901.0,1.0,6.0,11.0,16.0,21.0
510,NICOLAS PLACE,95.0,52.0,82057.0,void,void,42500.0,void,void,void,113.0,2.0,176883.5,159.5,7.0,249828.0,void,void,void,3.0,8.0
511,NINE NORTH,void,void,48000.0,105.0,5.0,275830.0,165.731,10.0,452910.0,163.0,15.0,466658.0,214.0,20.0,600877.0,1.0,6.0,11.0,16.0,21.0
512,NORTH BEND PHASE III,81.0,21.0,98658.5,69.0,26.0,88517.0,88.56700000000001,31.0,109880.0,92.0,36.0,114625.0,129.0,41.0,155350.0,22.0,27.0,32.0,37.0,42.0
513,NORTH BEND TOWNHOMES,80.0,22.0,110716.5,79.0,26.0,108425.0,90.48100000000001,31.0,125784.0,89.0,36.0,125348.0,140.0,41.0,197344.0,18.0,23.0,28.0,33.0,38.0
514,NORTH FARMS,84.0,14.0,114849.5,84.0,19.0,114966.0,102.092,24.0,141183.5,103.0,29.0,142183.0,137.0,34.0,193410.0,15.0,20.0,25.0,30.0,35.0
515,NORTH FOREST,84.0,27.0,146422.0,85.0,31.5,148744.5,122.49000000000001,36.5,216119.5,135.0,41.5,235001.5,163.5,46.5,289741.5,26.0,31.0,36.0,41.0,46.0
516,NORTH HAVEN,77.0,27.0,152450.0,77.0,32.0,153073.0,107.40549999999999,37.0,214498.0,109.0,42.0,216992.0,136.0,47.0,270197.0,28.0,33.0,38.0,43.0,48.0
517,NORTH HILLS,82.0,38.0,172081.0,82.0,43.0,173206.0,143.862,48.0,311939.0,163.0,53.0,362084.5,207.0,57.0,465662.5,39.0,44.0,49.0,54.0,59.0
518,NORTH HILLS PLACE,98.0,4.0,158360.0,98.0,9.0,158360.0,122.994,14.0,200163.5,127.0,19.0,208641.5,151.0,24.0,247868.0,5.0,10.0,15.0,20.0,25.0
519,NORTH PARK,85.0,4.0,181611.0,85.0,9.0,181611.0,126.311,14.0,275123.0,128.0,19.0,276756.0,165.5,24.0,359030.0,6.0,11.0,16.0,21.0,26.0
520,NORTH POINTE,103.0,2.0,336687.5,105.0,7.0,364002.0,149.341,12.0,495499.0,139.0,17.0,457659.0,168.0,22.0,545849.5,3.0,8.0,13.0,18.0,23.0
521,NORTH RIDGE,92.0,27.0,239773.0,92.0,32.0,243385.0,137.565,38.0,375295.0,143.0,43.0,386931.0,165.0,48.0,454004.0,28.0,33.0,38.0,43.0,48.0
522,NORTH RIDGE ESTATES,117.0,11.0,424150.0,117.0,16.0,426404.0,169.01099999999997,21.0,605782.0,154.0,26.0,562737.0,168.0,31.0,633003.5,12.0,17.0,22.0,27.0,32.0
523,NORTH RIDGE PARK,104.5,2.5,289160.0,112.0,7.0,317572.0,169.266,12.0,524932.0,164.0,17.0,507682.0,188.0,22.0,608077.0,0.0,5.0,10.0,15.0,20.0
524,NORTH RIDGE SQUARE,98.0,4.5,197544.0,98.0,8.5,199689.0,137.474,13.5,261543.5,134.5,18.5,269433.5,149.5,23.5,317459.5,13.0,18.0,23.0,28.0,33.0
525,NORTH RIDGE VILLAS,89.0,14.0,144695.0,89.0,19.0,145383.0,119.20349999999999,24.0,192812.0,130.0,29.0,214384.0,164.0,34.0,267416.0,15.0,20.0,25.0,30.0,35.0
526,NORTH RIDGE VILLAS ESTATES,90.0,16.0,139777.0,90.0,21.0,139430.0,122.37899999999999,26.0,187732.0,133.0,31.0,209651.0,168.0,36.0,263748.0,17.0,22.0,27.0,32.0,37.0
527,NORTH RIDGE VILLAS TOWNHOMES,80.0,21.0,114793.0,79.0,25.0,120354.0,90.0435,29.0,149465.0,97.0,34.0,158262.5,123.0,39.0,200842.0,20.0,25.0,30.0,35.0,40.0
528,NORTH TRAIL,75.0,28.0,153488.0,75.0,33.0,153089.0,103.84700000000001,38.0,214590.5,101.0,43.0,206711.0,129.0,48.5,262437.0,29.0,34.0,39.0,44.0,49.0
529,NORTH VALLEY,92.0,18.0,136089.0,92.0,23.0,136089.0,134.988,28.0,199046.5,122.5,33.0,188140.5,157.0,38.0,241110.0,19.0,24.0,29.0,34.0,39.0
530,NORTHCLIFT,83.0,31.0,128000.0,82.5,36.0,128087.0,116.02600000000001,41.0,181557.5,119.0,46.0,186423.0,163.5,51.0,252792.0,31.0,36.0,41.0,46.0,51.0
531,NORTHCLIFT,83.0,31.0,128000.0,82.5,36.0,128087.0,116.02600000000001,41.0,181557.5,119.0,46.0,186423.0,163.5,51.0,252792.0,29.0,34.0,39.0,44.0,49.0
532,NORTHCLIFT VILLAGE TOWNHOMES,51.0,24.0,108125.0,54.0,31.0,103033.0,61.691,35.0,125343.5,65.0,40.0,131245.5,94.5,45.0,189178.5,27.0,32.0,37.0,42.0,47.0
533,NORTHGLEN,78.0,35.0,158076.5,78.0,40.0,158561.5,112.54400000000001,45.0,227924.0,130.5,50.0,267087.5,182.0,55.0,381441.5,36.0,41.0,46.0,51.0,56.0
534,NORTHSHORE,69.0,29.0,128301.0,69.0,34.0,128301.0,87.67150000000001,39.0,163991.0,84.0,44.0,166199.0,105.0,49.0,206025.0,28.0,33.0,38.0,43.0,48.0
535,NORTHWOOD ACRES,80.0,36.0,136732.0,80.0,41.0,136797.0,114.61099999999999,46.0,208705.5,133.0,51.0,240275.0,191.0,56.0,335606.0,46.0,51.0,56.0,61.0,66.0
536,NORTHWYCK,97.5,9.0,225950.0,97.0,14.0,226590.0,130.375,19.0,300488.0,133.0,24.0,311100.0,163.0,29.0,394115.0,10.0,15.0,20.0,25.0,30.0
537,NORTHWYCK PH3,75.0,34.0,282551.0,void,39.0,56000.0,130.775,5.0,366399.0,128.0,10.0,360949.0,159.0,15.0,451516.0,void,0.0,5.0,10.0,15.0
